"padj","gene","symbol","rank","rank_change"
4.32990294527202e-13,"ENSG00000167768","KRT1",103,135
4.56624169758043e-13,"ENSG00000134668","SPOCD1",104,119
4.61396343712611e-13,"ENSG00000142731","PLK4",105,58
4.98337010027826e-13,"ENSG00000068971","PPP2R5B",106,202
4.98337010027826e-13,"ENSG00000173110","HSPA6",107,121
4.98337010027826e-13,"ENSG00000173868","PHOSPHO1",108,127
5.1681941587212e-13,"ENSG00000149639","SOGA1",109,122
5.63404513560368e-13,"ENSG00000149289","ZC3H12C",110,123
5.63404513560368e-13,"ENSG00000204592","HLA-E",111,116
5.99197452367165e-13,"ENSG00000104879","CKM",112,308
6.37091705241673e-13,"ENSG00000163507","CIP2A",113,75
8.90439272119293e-13,"ENSG00000225470","JPX",114,-27
9.25422919947676e-13,"ENSG00000115607","IL18RAP",115,130
9.77146629814543e-13,"ENSG00000214688","C10orf105",116,66
1.03509372758348e-12,"ENSG00000106484","MEST",117,947
1.07823632755542e-12,"ENSG00000147872","PLIN2",118,151
1.07823632755542e-12,"ENSG00000168530","MYL1",119,250
1.30006360234898e-12,"ENSG00000130165","ELOF1",120,179
1.5567827859918e-12,"ENSG00000178295","GEN1",121,177
1.58867748675704e-12,"ENSG00000184481","FOXO4",122,191
1.6022901762096e-12,"ENSG00000152463","OLAH",123,143
1.75562888155092e-12,"ENSG00000286071","AL136171.2",124,NA
1.95798395225002e-12,"ENSG00000034152","MAP2K3",125,165
2.09758487510871e-12,"ENSG00000127084","FGD3",126,151
2.23447250920361e-12,"ENSG00000124766","SOX4",127,159
2.54823569842674e-12,"ENSG00000066279","ASPM",128,12
2.54823569842674e-12,"ENSG00000159173","TNNI1",129,300
2.64743421279976e-12,"ENSG00000051341","POLQ",130,30
2.76241614132765e-12,"ENSG00000239474","KLHL41",131,55
2.91518302405671e-12,"ENSG00000139890","REM2",132,138
2.98497209100392e-12,"ENSG00000175003","SLC22A1",133,234
3.17142252056953e-12,"ENSG00000136205","TNS3",134,105
3.35107237576772e-12,"ENSG00000172270","BSG",135,172
3.61671011152466e-12,"ENSG00000164309","CMYA5",136,556
3.64039476978828e-12,"ENSG00000286051","AC244102.3",137,NA
3.66010199732956e-12,"ENSG00000128340","RAC2",138,138
4.7581990998024e-12,"ENSG00000281344","HELLPAR",139,52
5.56078761305336e-12,"ENSG00000119969","HELLS",140,148
5.62765910867305e-12,"ENSG00000173846","PLK3",141,122
5.70489671094574e-12,"ENSG00000196923","PDLIM7",142,243
6.39515731682392e-12,"ENSG00000013306","SLC25A39",143,146
6.39515731682392e-12,"ENSG00000144792","ZNF660",144,172
6.51694450829268e-12,"ENSG00000170525","PFKFB3",145,158
6.5687146462469e-12,"ENSG00000168878","SFTPB",146,1813
6.79277867239793e-12,"ENSG00000177791","MYOZ1",147,374
6.99160769395675e-12,"ENSG00000186439","TRDN",148,837
7.078997609584e-12,"ENSG00000243772","KIR2DL3",149,49
7.93777606492348e-12,"ENSG00000173894","CBX2",150,108
8.27642474148881e-12,"ENSG00000116641","DOCK7",151,203
8.75018188309503e-12,"ENSG00000227507","LTB",152,227
9.17408683400062e-12,"ENSG00000118276","B4GALT6",153,-39
9.38348677245104e-12,"ENSG00000185900","POMK",154,-131
9.49811395126755e-12,"ENSG00000124731","TREM1",155,385
9.85590980670179e-12,"ENSG00000105501","SIGLEC5",156,-90
9.9540135083094e-12,"ENSG00000185480","PARPBP",157,333
1.10520867305006e-11,"ENSG00000131669","NINJ1",158,163
1.10520867305006e-11,"ENSG00000152137","HSPB8",159,398
1.10520867305006e-11,"ENSG00000169180","XPO6",160,185
1.10520867305006e-11,"ENSG00000206172","HBA1",161,16
1.32977668813553e-11,"ENSG00000134986","NREP",162,12387
1.35254998577553e-11,"ENSG00000223960","CHROMR",163,43
1.57038946476189e-11,"ENSG00000178852","EFCAB13",164,296
1.73779410274615e-11,"ENSG00000029153","ARNTL2",165,340
1.93274532967097e-11,"ENSG00000142546","NOSIP",166,302
1.99749018630451e-11,"ENSG00000099860","GADD45B",167,217
2.02280865817273e-11,"ENSG00000144354","CDCA7",168,221
2.06695191290663e-11,"ENSG00000172216","CEBPB",169,126
2.10997666088694e-11,"ENSG00000213362","FTH1P12",170,6605
2.17532573172087e-11,"ENSG00000269821","KCNQ1OT1",171,403
2.35340319337649e-11,"ENSG00000172167","MTBP",172,101
2.55123358148003e-11,"ENSG00000140678","ITGAX",173,266
2.66263770945894e-11,"ENSG00000213160","KLHL23",174,-33
2.7749796593764e-11,"ENSG00000127955","GNAI1",175,224
2.89323345060075e-11,"ENSG00000166925","TSC22D4",176,318
2.89323345060075e-11,"ENSG00000167671","UBXN6",177,165
3.25234092612162e-11,"ENSG00000147650","LRP12",178,330
3.83285507936495e-11,"ENSG00000254325","AC018607.1",179,556
4.05732413668395e-11,"ENSG00000186638","KIF24",180,426
4.71539489966661e-11,"ENSG00000130066","SAT1",181,182
4.71539489966661e-11,"ENSG00000164116","GUCY1A1",182,363
4.71539489966661e-11,"ENSG00000197714","ZNF460",183,154
5.06848678677744e-11,"ENSG00000128833","MYO5C",184,67
5.12123602012902e-11,"ENSG00000255398","HCAR3",185,168
5.24181584963135e-11,"ENSG00000227591","HSD11B1-AS1",186,534
5.74462782308386e-11,"ENSG00000100985","MMP9",187,115
5.74462782308386e-11,"ENSG00000172116","CD8B",188,186
5.83814453117832e-11,"ENSG00000180644","PRF1",189,155
6.06090253770457e-11,"ENSG00000156970","BUB1B",190,242
6.18369867650641e-11,"ENSG00000247903","AC024896.1",191,7831
6.32703104871852e-11,"ENSG00000232442","MHENCR",192,542
6.55482920311556e-11,"ENSG00000139832","RAB20",193,178
6.85349531590281e-11,"ENSG00000109846","CRYAB",194,577
6.96317659975066e-11,"ENSG00000071794","HLTF",195,13012
6.96317659975066e-11,"ENSG00000118193","KIF14",196,-27
6.98122966231941e-11,"ENSG00000145734","BDP1",197,317
7.02642066530799e-11,"ENSG00000235257","ITGA9-AS1",198,551
7.3421293445577e-11,"ENSG00000274422","AC245060.5",199,416
7.77562769350036e-11,"ENSG00000077984","CST7",200,175
8.86397439128527e-11,"ENSG00000171552","BCL2L1",201,139
9.07510693111419e-11,"ENSG00000184445","KNTC1",202,174
9.32055342570491e-11,"ENSG00000146414","SHPRH",203,250
9.32055342570491e-11,"ENSG00000213275","IFITM9P",204,3371
1.01441151963476e-10,"ENSG00000166004","CEP295",205,201
1.0696536261932e-10,"ENSG00000112303","VNN2",206,124
1.11369535719525e-10,"ENSG00000162545","CAMK2N1",207,346
1.12909832527275e-10,"ENSG00000148344","PTGES",208,165
1.17470406375516e-10,"ENSG00000110047","EHD1",209,243
1.23616643663649e-10,"ENSG00000146263","MMS22L",210,149
1.28947849285767e-10,"ENSG00000139112","GABARAPL1",211,175
1.30330922036761e-10,"ENSG00000158022","TRIM63",212,827
1.34189406482728e-10,"ENSG00000100284","TOM1",213,294
1.34953110855227e-10,"ENSG00000157657","ZNF618",214,186
1.35198443212801e-10,"ENSG00000260852","FBXL19-AS1",215,28
1.37616984843335e-10,"ENSG00000242094","FOXP1-IT1",216,33
1.39242719967569e-10,"ENSG00000244734","HBB",217,138
1.45785024716197e-10,"ENSG00000160570","DEDD2",218,114
1.60166386325381e-10,"ENSG00000260592","AC130456.3",219,-98
1.75009781813064e-10,"ENSG00000105287","PRKD2",220,243
2.00967376041251e-10,"ENSG00000250802","ZBED3-AS1",221,120
2.06544200659663e-10,"ENSG00000144407","PTH2R",222,170
2.07491321974148e-10,"ENSG00000269981","AL627309.7",223,650
2.19205944894554e-10,"ENSG00000109472","CPE",224,646
2.1927459489487e-10,"ENSG00000118495","PLAGL1",225,337
2.35521926928714e-10,"ENSG00000117984","CTSD",226,-151
2.52567830322768e-10,"ENSG00000164047","CAMP",227,207
2.61376596206978e-10,"ENSG00000105374","NKG7",228,194
2.63540438277819e-10,"ENSG00000147454","SLC25A37",229,277
2.80758797277138e-10,"ENSG00000172354","GNB2",230,208
2.80758797277138e-10,"ENSG00000178814","OPLAH",231,291
2.80758797277138e-10,"ENSG00000257335","MGAM",232,191
2.86468047174095e-10,"ENSG00000221983","UBA52",233,223
2.88056296339465e-10,"ENSG00000120306","CYSTM1",234,212
2.88056296339465e-10,"ENSG00000145901","TNIP1",235,261
3.23676338337831e-10,"ENSG00000223722","IFITM3P2",236,1968
3.31217714472366e-10,"ENSG00000171051","FPR1",237,170
3.35445752657176e-10,"ENSG00000116991","SIPA1L2",238,296
3.49029669648947e-10,"ENSG00000172469","MANEA",239,235
3.52942075199022e-10,"ENSG00000136824","SMC2",240,187
3.64274902860022e-10,"ENSG00000267041","ZNF850",241,403
3.85836955965989e-10,"ENSG00000225720","AL031846.1",242,1437
4.0176471913267e-10,"ENSG00000169583","CLIC3",243,229
4.04054579190962e-10,"ENSG00000125498","KIR2DL1",244,112
4.07748465212307e-10,"ENSG00000100100","PIK3IP1",245,254
4.4022033633575e-10,"ENSG00000127914","AKAP9",246,247
