"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000158828",602,693,1538,244,288,266,1.85318870133292e-16,"PINK1",45,74
"ENSG00000229314",189,127,860,9,11,2,2.35727421423891e-16,"ORM1",46,72
"ENSG00000196843",3881,3549,11519,1430,962,1166,3.27263799927158e-16,"ARID5A",47,129
"ENSG00000122367",152,56,140,4,5,6,4.23443717682487e-16,"LDB3",48,377
"ENSG00000111245",505,323,333,0,0,1,6.85331938205317e-16,"MYL2",49,166
"ENSG00000185559",6,4,10,793,616,908,6.87925517691121e-16,"DLK1",50,259
"ENSG00000114626",6409,10000,41276,1556,1119,1408,6.97993975703822e-16,"ABTB1",51,119
"ENSG00000087086",122112,103511,189001,19923,29600,10712,7.9626211788337e-16,"FTL",52,81
"ENSG00000274173",81,497,1040,5,0,3,9.14970294957593e-16,"AL035661.1",53,77
"ENSG00000151726",22423,20774,149545,3587,2546,1981,1.16094535071293e-15,"ACSL1",54,104
"ENSG00000226608",677,926,1286,59,153,51,1.32963774991333e-15,"FTLP3",55,769
"ENSG00000106823",8,8,13,678,918,729,1.60531216695645e-15,"ECM2",56,46
"ENSG00000035664",1049,580,1841,253,129,128,2.27905636581406e-15,"DAPK2",57,98
"ENSG00000122778",3,1,12,1940,1208,948,2.55266998321974e-15,"KIAA1549",58,49
"ENSG00000162366",1220,878,556,35,3,11,3.74641703913931e-15,"PDZK1IP1",59,83
"ENSG00000070495",1910,1827,4593,943,782,951,3.85466140965016e-15,"JMJD6",60,170
"ENSG00000081923",18,17,21,1299,2304,1333,4.27172851836974e-15,"ATP8B1",61,585
"ENSG00000139618",28,24,60,1633,2667,1916,4.27172851836974e-15,"BRCA2",62,117
"ENSG00000185201",24617,35116,216514,4208,1282,2243,5.33177367386503e-15,"IFITM2",63,74
"ENSG00000285417",6,0,12,4595,1561,2923,6.33605758892243e-15,"BX571818.1",64,NA
"ENSG00000156802",108,104,160,4167,3974,3463,8.22769711855375e-15,"ATAD2",65,120
"ENSG00000135924",2396,1215,2034,369,403,301,9.20416825920361e-15,"DNAJB2",66,145
"ENSG00000008438",2002,837,2009,110,15,29,1.04766830948802e-14,"PGLYRP1",67,126
"ENSG00000213654",10246,10890,46577,2514,3105,1994,1.16163666314795e-14,"GPSM3",68,110
