"padj","gene","symbol","rank","rank_change"
2.63987071026092e-18,"ENSG00000167996","FTH1",101,2690
2.77185617010045e-18,"ENSG00000106823","ECM2",102,-46
2.795262261809e-18,"ENSG00000143570","SLC39A1",103,25967
3.3313477699789e-18,"ENSG00000149798","CDC42EP2",104,12250
5.23625059093783e-18,"ENSG00000242114","MTFP1",105,10758
5.84649710836037e-18,"ENSG00000279605","AC067930.5",106,13558
7.54610848824208e-18,"ENSG00000122778","KIAA1549",107,-49
8.06079451272717e-18,"ENSG00000145029","NICN1",108,NA
9.63254343641166e-18,"ENSG00000166337","TAF10",109,19666
1.00623744708444e-17,"ENSG00000143632","ACTA1",110,-89
1.1389727252411e-17,"ENSG00000106992","AK1",111,1155
1.29440021768166e-17,"ENSG00000185262","UBALD2",112,-79
1.32183587061839e-17,"ENSG00000175826","CTDNEP1",113,1187
1.36071858803908e-17,"ENSG00000118276","B4GALT6",114,39
1.80726517816875e-17,"ENSG00000266820","KPNA2P3",115,NA
2.29198538644317e-17,"ENSG00000124102","PI3",116,-81
2.67852108377466e-17,"ENSG00000243708","PLA2G4B",117,42701
3.32239192104698e-17,"ENSG00000229314","ORM1",118,-72
4.35397702716583e-17,"ENSG00000158828","PINK1",119,-74
4.35397702716583e-17,"ENSG00000176340","COX8A",120,324
4.35397702716583e-17,"ENSG00000260592","AC130456.3",121,98
4.38818803013507e-17,"ENSG00000141086","CTRL",122,41792
5.86508098113892e-17,"ENSG00000243056","EIF4EBP3",123,44459
8.78730027237294e-17,"ENSG00000008128","CDK11A",124,12287
1.20900525291434e-16,"ENSG00000260279","AC137932.1",125,8836
1.22550615393732e-16,"ENSG00000105967","TFEC",126,-88
1.26466700838406e-16,"ENSG00000128271","ADORA2A",127,32309
1.7090370621354e-16,"ENSG00000219507","FTH1P8",128,-110
2.07281364179818e-16,"ENSG00000105393","BABAM1",129,3556
2.17393223291927e-16,"ENSG00000274173","AL035661.1",130,-77
2.69406454210577e-16,"ENSG00000213246","SUPT4H1",131,9426
4.14865911720826e-16,"ENSG00000099785","MARCHF2",132,-89
4.25067536875011e-16,"ENSG00000087086","FTL",133,-81
4.84603940815898e-16,"ENSG00000155189","AGPAT5",134,-63
5.88547691518414e-16,"ENSG00000105647","PIK3R2",135,28715
6.17419854272215e-16,"ENSG00000176208","ATAD5",136,-111
6.33498410663163e-16,"ENSG00000185201","IFITM2",137,-74
6.40207846918832e-16,"ENSG00000166507","NDST2",138,16635
6.75372055663771e-16,"ENSG00000246859","STARD4-AS1",139,-40
7.03695501804035e-16,"ENSG00000066279","ASPM",140,-12
7.22627603677282e-16,"ENSG00000213160","KLHL23",141,33
7.24731705768938e-16,"ENSG00000162366","PDZK1IP1",142,-83
7.57078200101643e-16,"ENSG00000266469","AC005288.1",143,15312
1.0024061921917e-15,"ENSG00000247828","TMEM161B-AS1",144,564
1.01560767532708e-15,"ENSG00000213073","CHP1P2",145,NA
1.12107603978049e-15,"ENSG00000167524","RSKR",146,4935
1.12891059427539e-15,"ENSG00000249898","MCPH1-AS1",147,387
1.1601751191461e-15,"ENSG00000136371","MTHFS",148,20000
1.162767695852e-15,"ENSG00000022840","RNF10",149,-79
1.49005361860018e-15,"ENSG00000221957","KIR2DS4",150,-63
1.59604473587424e-15,"ENSG00000223609","HBD",151,5468
1.68040913246602e-15,"ENSG00000214456","PLIN5",152,-73
2.24561564906437e-15,"ENSG00000160229","ZNF66",153,373
2.28429436451491e-15,"ENSG00000126246","IGFLR1",154,5469
2.30414343430025e-15,"ENSG00000035664","DAPK2",155,-98
2.36123178148526e-15,"ENSG00000132846","ZBED3",156,-120
2.40598295601861e-15,"ENSG00000188603","CLN3",157,20674
2.75112119698207e-15,"ENSG00000151726","ACSL1",158,-104
2.83069241786203e-15,"ENSG00000226232","NPIPB14P",159,41668
3.25339513959898e-15,"ENSG00000051341","POLQ",160,-30
3.27653232530399e-15,"ENSG00000092054","MYH7",161,-130
3.56520572005253e-15,"ENSG00000198554","WDHD1",162,-77
3.67046368875158e-15,"ENSG00000142731","PLK4",163,-58
3.8251891161555e-15,"ENSG00000112651","MRPL2",164,30221
3.90910727703691e-15,"ENSG00000213468","FIRRE",165,222
4.05445577158484e-15,"ENSG00000186704","DTX2P1",166,42211
4.53925730494056e-15,"ENSG00000178502","KLHL11",167,104
4.56081797500371e-15,"ENSG00000196998","WDR45",168,394
4.64885951518659e-15,"ENSG00000118193","KIF14",169,27
4.81153459625185e-15,"ENSG00000114626","ABTB1",170,-119
4.92934974506338e-15,"ENSG00000254505","CHMP4A",171,25194
5.12627486101952e-15,"ENSG00000134072","CAMK1",172,26515
5.58762856803765e-15,"ENSG00000077454","LRCH4",173,3526
5.58851564930229e-15,"ENSG00000103569","AQP9",174,-92
6.64361024474119e-15,"ENSG00000262814","MRPL12",175,42140
7.04080506672346e-15,"ENSG00000196843","ARID5A",176,-129
7.20609870671463e-15,"ENSG00000206172","HBA1",177,-16
7.53867262510779e-15,"ENSG00000213654","GPSM3",178,-110
8.49686768628198e-15,"ENSG00000139618","BRCA2",179,-117
9.42154091942194e-15,"ENSG00000116299","ELAPOR1",180,-92
1.01876849540666e-14,"ENSG00000184702","SEPTIN5",181,40455
1.03147798434157e-14,"ENSG00000214688","C10orf105",182,-66
1.10355631865903e-14,"ENSG00000267855","NDUFA7",183,24755
1.27229770301492e-14,"ENSG00000187608","ISG15",184,-106
1.30005233286537e-14,"ENSG00000156802","ATAD2",185,-120
1.43472951241324e-14,"ENSG00000239474","KLHL41",186,-55
1.47557301148854e-14,"ENSG00000119121","TRPM6",187,-111
1.47557301148854e-14,"ENSG00000163507","CIP2A",188,-75
1.48386836760362e-14,"ENSG00000140932","CMTM2",189,-116
1.55819102001535e-14,"ENSG00000213809","KLRK1",190,1964
1.56793892120872e-14,"ENSG00000281344","HELLPAR",191,-52
1.62057619626575e-14,"ENSG00000143774","GUK1",192,-115
1.92595793763392e-14,"ENSG00000008438","PGLYRP1",193,-126
2.23634740558083e-14,"ENSG00000213931","HBE1",194,NA
2.30804683821484e-14,"ENSG00000007062","PROM1",195,-123
2.31960634589216e-14,"ENSG00000117862","TXNDC12",196,32135
2.48824414229221e-14,"ENSG00000115590","IL1R2",197,-122
2.94627480048848e-14,"ENSG00000243772","KIR2DL3",198,-49
2.99800994112415e-14,"ENSG00000261824","LINC00662",199,654
3.24440780169004e-14,"ENSG00000235652","FBXO30-DT",200,515
3.31782320557049e-14,"ENSG00000197114","ZGPAT",201,5993
3.36957049155776e-14,"ENSG00000279117","AP001972.5",202,NA
3.48694188241914e-14,"ENSG00000100031","GGT1",203,9062
3.48694188241914e-14,"ENSG00000101084","RAB5IF",204,31961
3.53000873471077e-14,"ENSG00000249593","AC011405.1",205,134
3.6696304993413e-14,"ENSG00000223960","CHROMR",206,-43
3.928440755933e-14,"ENSG00000060749","QSER1",207,-105
4.06258625751724e-14,"ENSG00000137133","HINT2",208,42170
4.48059416121678e-14,"ENSG00000263647","BPTFP1",209,NA
4.58230586426755e-14,"ENSG00000211596","IGKJ2",210,NA
4.65860624215633e-14,"ENSG00000135924","DNAJB2",211,-145
5.43288496467729e-14,"ENSG00000099977","DDT",212,31408
5.48260501104971e-14,"ENSG00000268903","AL627309.6",213,-179
6.82302413297667e-14,"ENSG00000281991","TMEM265",214,45378
7.05447770788692e-14,"ENSG00000111245","MYL2",215,-166
7.05447770788692e-14,"ENSG00000132471","WBP2",216,-142
8.11251516892866e-14,"ENSG00000189067","LITAF",217,-117
8.87263861072308e-14,"ENSG00000100092","SH3BP1",218,1949
9.58765205178535e-14,"ENSG00000243749","TMEM35B",219,36271
9.61194261954285e-14,"ENSG00000281398","SNHG4",220,191
1.16584276170975e-13,"ENSG00000257949","TEN1",221,15587
1.26684396522749e-13,"ENSG00000213780","GTF2H4",222,28632
1.38065386856059e-13,"ENSG00000134668","SPOCD1",223,-119
1.45144642465543e-13,"ENSG00000258315","C17orf49",224,29557
1.80778215260742e-13,"ENSG00000229833","PET100",225,6640
2.07343674808819e-13,"ENSG00000284024","AC069544.2",226,10541
2.21839291205601e-13,"ENSG00000204592","HLA-E",227,-116
2.33070776377774e-13,"ENSG00000173110","HSPA6",228,-121
2.39338222324141e-13,"ENSG00000196312","MFSD14C",229,3539
2.41665047684048e-13,"ENSG00000070495","JMJD6",230,-170
2.48004821108767e-13,"ENSG00000149639","SOGA1",231,-122
2.66926936769121e-13,"ENSG00000095059","DHPS",232,20642
3.10323940884608e-13,"ENSG00000149289","ZC3H12C",233,-123
3.14976353707038e-13,"ENSG00000102098","SCML2",234,-141
3.15214841187005e-13,"ENSG00000173868","PHOSPHO1",235,-127
3.15214841187005e-13,"ENSG00000245060","LINC00847",236,12462
3.49422010642731e-13,"ENSG00000140264","SERF2",237,27
3.53652554701962e-13,"ENSG00000167768","KRT1",238,-135
3.80932345839906e-13,"ENSG00000136205","TNS3",239,-105
3.92646786007769e-13,"ENSG00000215440","NPEPL1",240,2876
4.01796905213933e-13,"ENSG00000231999","LRRC8C-DT",241,920
4.17875385205305e-13,"ENSG00000203896","LIME1",242,3893
4.17875385205305e-13,"ENSG00000260852","FBXL19-AS1",243,-28
4.4348836522133e-13,"ENSG00000230084","AC006059.1",244,310
4.61245376454319e-13,"ENSG00000115607","IL18RAP",245,-130
4.85429842769224e-13,"ENSG00000230322","AL136320.1",246,741
5.30380207779852e-13,"ENSG00000204632","HLA-G",247,1568
5.66984520016775e-13,"ENSG00000205155","PSENEN",248,1377
5.69920629479238e-13,"ENSG00000242094","FOXP1-IT1",249,-33
6.53198356522229e-13,"ENSG00000179240","GVQW3",250,1472
7.24928805926175e-13,"ENSG00000128833","MYO5C",251,-67
7.28241387328863e-13,"ENSG00000204524","ZNF805",252,1809
7.4625494532447e-13,"ENSG00000166136","NDUFB8",253,32625
7.63799290529973e-13,"ENSG00000080603","SRCAP",254,12783
7.63799290529973e-13,"ENSG00000265681","RPL17",255,44968
7.6415409955975e-13,"ENSG00000258659","TRIM34",256,37444
7.64642648972096e-13,"ENSG00000274425","AC114271.1",257,45567
8.40606198905097e-13,"ENSG00000173894","CBX2",258,-108
9.08485289011338e-13,"ENSG00000234353","AP000346.2",259,12530
9.65310206258506e-13,"ENSG00000231259","ANAPC1P2",260,NA
9.9282267395054e-13,"ENSG00000182108","DEXI",261,2495
1.05268314951343e-12,"ENSG00000215837","SDHAP2",262,NA
1.06971509699739e-12,"ENSG00000173846","PLK3",263,-122
1.08194668552182e-12,"ENSG00000267796","LIN37",264,2916
1.16528561323388e-12,"ENSG00000079393","DUSP13",265,-169
1.16847029243461e-12,"ENSG00000152463","OLAH",266,-143
1.22593502790071e-12,"ENSG00000232729","AC211433.1",267,34
1.29258781786408e-12,"ENSG00000105835","NAMPT",268,-179
1.32644512443276e-12,"ENSG00000147872","PLIN2",269,-151
1.34497122606153e-12,"ENSG00000139890","REM2",270,-138
1.43357228106656e-12,"ENSG00000125971","DYNLRB1",271,29724
1.53130096703461e-12,"ENSG00000267673","FDX2",272,23750
1.59909440147117e-12,"ENSG00000172167","MTBP",273,-101
1.60893851228492e-12,"ENSG00000280143","AP000892.4",274,29645
1.62259477315473e-12,"ENSG00000174886","NDUFA11",275,6050
1.64787298017383e-12,"ENSG00000128340","RAC2",276,-138
1.68845044936922e-12,"ENSG00000127084","FGD3",277,-151
1.81891555045002e-12,"ENSG00000109061","MYH1",278,-197
1.83334859414986e-12,"ENSG00000224083","MTCO1P11",279,3
2.02581614326262e-12,"ENSG00000103154","NECAB2",280,-183
2.20424110076527e-12,"ENSG00000268362","AC092279.1",281,72
2.24857831846213e-12,"ENSG00000196091","MYBPC1",282,-240
2.2514280451047e-12,"ENSG00000161265","U2AF1L4",283,6720
2.2514280451047e-12,"ENSG00000250903","GMDS-DT",284,115
