"GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
0,1,0,1,1,3
6,3,0,0,12,8
3,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
17,20,0,0,0,2
0,0,0,0,0,0
1,1,6,10,5,7
0,0,0,0,0,0
0,0,0,0,0,0
6,8,4,3,5,4
119,77,67,40,80,52
3,2,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
126,183,109,137,235,284
0,1,0,0,0,0
0,0,0,0,0,2
152,64,128,63,554,251
0,0,0,3,0,0
0,0,0,0,0,0
2,1,4,2,0,0
0,0,0,2,1,1
12,6,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
3,4,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,0,0
109,53,101,39,104,42
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,3,19,18
0,0,0,2,0,1
0,0,0,0,0,0
4,2,2,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5,18,12,19,3,17
3,0,4,0,4,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
2,1,2,9,1,4
0,0,0,0,0,2
0,0,0,0,0,0
0,0,0,1,0,0
1,1,1,1,1,0
0,0,0,0,0,2
0,0,0,0,0,0
0,0,1,2,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,6,0,0,0,0
0,0,4,3,11,4
0,0,0,1,0,0
2,8,9,20,1,4
0,0,0,2,0,2
2,1,1,2,1,3
0,0,0,0,0,0
0,0,0,0,0,0
2,1,1,4,20,41
0,0,0,1,0,1
0,0,0,0,0,0
0,0,2,1,0,0
198,121,185,109,871,530
0,0,0,0,0,0
0,1,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,4,0,3
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,1,2,0,3
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
60,15,51,10,106,29
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
232,152,271,197,8,45
0,0,0,0,0,0
3,2,0,0,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,0,1
0,0,0,0,1,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
19,39,28,48,17,26
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,2
6,5,6,6,8,7
0,0,0,0,18,10
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
3,0,0,0,9,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,1,3,0,0
0,0,0,0,0,0
0,2,0,1,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,4,4,0,0
0,1,0,0,0,0
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,0,0
2,2,0,3,1,2
0,0,0,0,0,0
0,0,0,0,0,0
8,11,23,41,12,14
0,0,0,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
22,7,61,26,6,7
3,4,7,9,4,6
32,20,18,5,15,8
0,0,0,0,0,0
12,17,68,84,23,34
2,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,5,9,6,25
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,7,15
0,0,0,0,0,0
2,2,0,0,0,0
0,1,0,1,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,12,0,3,2,6
0,0,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,2
0,0,0,0,0,0
0,4,0,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,3,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,3,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,24,0,8,0,0
1,1,0,0,0,0
0,1,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,1
0,14,0,2,0,8
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,15
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,6,0,0,1,5
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,3,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,3,0,1,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
11,5,2,2,46,25
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
85,51,43,31,59,48
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,2,2,4,18,27
0,0,0,0,0,0
0,0,6,4,33,16
1,0,0,0,0,0
0,0,0,0,0,0
393,226,304,159,225,97
4,3,0,0,0,0
2,1,0,0,0,0
0,0,0,0,0,0
5,2,12,7,20,11
109,64,42,23,235,141
5,0,8,0,7,2
0,0,0,0,0,0
0,0,0,0,0,0
2,1,0,0,0,0
0,0,0,0,0,0
70,151,120,342,296,746
0,0,0,0,0,0
0,0,2,1,0,0
7,4,0,0,11,3
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13,4,8,0,41,2
4,4,4,5,4,4
0,0,0,0,2,1
2,10,0,1,0,2
0,4,0,0,0,0
0,0,0,0,0,0
0,9,3,7,22,62
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,3,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
63,93,10,16,62,91
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,4,3,2,0,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,2
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,5,0,2,6,20
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,1,0,0
0,0,0,0,0,0
0,1,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,13,68
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,5,0,1,0,0
0,2,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
2,4,11,8,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,1,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,3,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,5,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
4,6,0,3,0,0
1,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,0,7
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,5,6,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,15,4,7,0,10
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,3,4,4,6,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
1,1,0,2,2,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,1
10,11,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,3,0,1,0,11
0,0,0,0,0,0
0,0,0,0,0,0
2,3,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,3,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,6,10,0,13
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,3,0,0,0,0
0,3,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,13,6,11,9,28
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,0,0
13,8,23,13,1,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,4,0,2,0,4
1,5,1,2,2,9
0,0,0,0,0,0
0,2,0,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,7,0,1,0,0
0,0,0,0,0,0
0,0,0,0,2,2
5,2,3,1,1,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
7,7,34,17,12,7
0,0,0,0,0,0
6,7,4,5,16,8
0,0,0,0,0,0
0,0,0,0,0,0
34,31,23,19,61,34
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
29,29,0,1,5,7
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,1,2
0,0,0,0,0,0
0,0,0,1,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,6,0,0,0,2
0,0,0,0,0,0
0,0,0,0,0,0
2,1,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,2,1,7,5,36
9,13,1,5,14,9
0,0,0,0,0,0
0,0,0,1,0,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,0,0
12,8,29,16,132,80
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,1,9,5,0,0
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,4
0,0,0,0,0,0
8,8,0,3,0,0
0,0,0,0,0,0
3,2,0,0,10,7
79,70,58,37,62,48
0,1,1,3,1,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
9,20,5,21,2,6
0,0,0,0,0,0
76,50,18,16,6,4
1,0,0,1,0,0
0,0,0,0,0,0
0,1,0,3,0,1
0,0,0,0,1,0
0,0,0,0,0,0
0,0,4,2,1,1
1,0,0,0,0,0
0,0,0,0,0,0
167,176,51,71,85,88
28,20,36,25,36,51
2,4,4,5,2,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,4,1,4
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,1,0,1,0,2
0,0,0,0,0,0
0,0,0,0,0,0
8,4,0,0,6,12
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,2
0,1,1,2,0,0
2,1,0,0,0,0
0,0,4,4,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,3,1,1,0,0
12,14,6,2,7,7
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,4,10,7,77,70
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,5,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6,4,0,0,0,0
0,0,0,0,0,0
1,2,2,2,3,0
0,0,0,0,0,0
1,1,0,0,0,0
5,3,35,24,1,0
0,0,0,1,1,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2,11
0,2,2,1,0,0
2,1,3,2,0,0
0,0,0,0,0,0
3,10,3,17,5,16
2,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,8,0,0,0,0
0,0,0,0,0,1
0,1,0,0,1,4
3,2,7,0,25,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
791,439,417,241,353,202
0,0,0,0,0,0
0,0,0,0,0,0
1,6,0,0,0,0
0,0,0,0,3,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,5,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
57,55,32,35,59,114
0,1,0,1,0,0
3,9,0,0,0,0
0,4,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,11,0,3,0
0,0,0,0,0,0
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
9,6,2,2,22,19
0,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,1,2
0,0,0,0,0,1
0,0,0,0,0,0
0,1,4,10,1,1
0,0,0,0,2,1
0,0,0,0,0,0
176,160,134,88,475,322
0,0,0,0,0,0
0,0,0,0,0,2
2,1,0,0,9,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,8,4
0,0,0,0,0,0
0,1,0,0,0,0
46,32,30,26,496,299
0,0,0,0,0,0
3,13,17,38,12,22
48,34,79,29,122,62
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6,3,0,1,4,2
2,7,0,1,0,2
2,1,1,0,6,1
0,0,0,0,0,0
0,3,2,10,2,10
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,0,7
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,5,1,0
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,2
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,1,0,0
8,6,0,1,6,5
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,1,4,5,0,7
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,2,2,0,0,1
2,2,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,1,1,0
0,0,0,0,0,0
3,3,0,2,0,1
0,0,0,0,0,0
0,0,0,0,0,0
2,1,0,0,0,0
0,0,0,0,0,0
4,2,0,0,0,0
0,0,0,0,0,0
