"GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
28,17,5,2,3,4
343,292,413,295,313,207
931,578,573,334,807,448
1338,747,912,546,4146,2293
150,83,93,61,114,25
35,60,18,62,20,83
55,47,12,6,142,130
0,0,0,0,0,0
1,1,10,6,19,12
1340,835,1715,992,3731,2041
5668,3504,2834,1824,11099,6825
141,97,372,229,1180,653
3837,503,2447,211,5900,462
8,6,0,2,35,42
945,706,865,546,868,505
10688,5168,10743,5360,35946,16183
517,331,262,161,1012,593
577,344,586,347,1832,1062
0,0,24,23,3,2
1,0,0,0,2,4
1,0,2,1,1,0
4112,2339,2969,1735,1469,840
1,1,0,2,13,12
116,69,210,131,878,512
1,2,6,6,1,0
5,3,2,1,17,8
0,0,0,0,0,0
385,239,238,149,899,515
0,2,0,0,6,11
71,45,193,103,634,351
168,102,184,111,479,276
48,27,12,12,16,9
4588,2574,1676,984,2081,1189
0,0,0,0,0,0
0,0,0,0,6,6
13,7,29,16,2,2
9,7,0,0,3,5
8,6,23,16,32,34
900,510,1004,586,11466,6332
911,552,575,326,3136,1711
0,0,2,1,2,3
308,203,283,170,2533,1377
1,1,0,1,4,7
249,147,601,360,449,264
39,51,100,77,248,280
112,91,144,110,414,284
0,0,0,0,0,0
408,233,2,2,2,0
3147,2005,1145,645,1812,1056
126,72,82,47,117,73
164,101,191,116,807,470
0,0,0,0,0,0
5330,3279,7644,4572,21613,12072
0,0,0,0,0,0
0,1,23,19,29,19
2,7,4,3,34,46
2775,1174,3186,936,5282,1766
0,0,0,0,0,0
8,6,1,0,3,3
37324,18549,53092,25637,91083,40555
1012,627,988,594,942,559
801,942,592,589,1631,1086
1223,724,1430,857,2557,1372
170,118,165,116,183,120
40,23,91,57,85,55
4,3,0,0,3,6
232,146,125,87,493,307
0,0,0,0,0,1
1149,632,1152,634,645,331
642,404,1933,1282,23532,14443
105,58,28,14,2,5
19,12,10,4,41,26
2430,192,1336,124,20351,752
4519,2574,2098,1217,17485,9769
5,2,2,1,3,2
314,174,316,186,442,232
1277,747,847,512,1495,885
1,3,5,3,34,35
214,116,190,121,538,233
4,4,2,0,10,14
2,1,0,0,9,5
6,4,7,3,38,20
1,1,0,0,0,1
421,261,127,81,302,195
25,16,16,12,96,65
4,5,6,6,31,21
0,1,8,6,4,4
27,17,53,29,305,175
0,0,0,0,0,0
0,0,1,1,2,2
6,3,1,1,8,5
0,0,0,0,0,0
1021,604,2612,1468,10166,5398
161,103,189,120,419,255
16,0,68,1,10,1
220,135,277,159,256,151
0,0,0,0,0,0
492,293,401,244,261,151
221,142,206,117,461,261
98,68,147,99,362,212
20,13,6,3,12,5
1642,938,1916,1086,5172,2819
0,0,4,7,12,12
4,8,7,6,8,4
108,69,658,405,545,332
3,8,6,8,16,13
1,4,60,34,7,8
482,282,506,309,942,645
5894,3407,5292,3083,10426,5805
143,80,47,38,22,27
409,274,437,267,210,142
5,9,26,13,21,20
77,29,332,157,355,172
444,265,250,153,356,223
1201,700,897,521,2014,1138
121,67,99,68,122,79
235,147,52,35,88,68
299,191,68,45,173,127
0,0,0,2,15,17
1190,700,792,462,3654,2006
0,0,0,0,0,1
0,0,0,0,0,5
0,0,0,0,0,0
511,281,623,347,515,280
7217,6329,4705,3326,10410,6736
0,0,2,1,0,0
0,0,152,88,4,3
4,12,7,28,37,100
3817,2834,1880,1136,4863,2970
6,8,1,6,20,22
110,72,215,122,1292,759
6,9,23,12,34,22
0,0,0,0,0,0
6,6,6,5,7,10
350,196,248,144,66,39
141,84,152,81,687,376
447,322,6130,3472,2132,1230
50,31,10,10,11,12
213,110,231,118,491,250
8,6,3,3,17,13
1206,693,1173,657,6394,3362
1119,663,3383,1984,20521,11869
106,32,214,45,858,173
371,221,1453,820,3175,1709
37,30,41,26,52,39
904,513,618,349,1242,703
3293,2324,1336,851,2794,1683
1336,904,1016,560,174,96
634,811,1394,945,858,553
430,242,280,159,349,223
0,0,0,0,0,0
312,167,562,323,5093,2628
82,51,43,25,96,53
0,1,0,0,0,0
16,12,6,6,9,7
203,9,149,9,513,12
3,5,4,4,10,11
0,0,0,0,0,0
124,71,117,68,383,212
22,14,124,76,26,35
351,208,298,180,1546,858
144,118,69,50,71,62
197,115,347,197,577,325
28,18,74,39,86,40
0,0,3,6,16,18
0,0,0,0,0,0
302,171,283,161,679,366
0,0,1,0,2,0
2,1,0,0,2,1
1002,565,796,452,2225,1213
911,512,1145,644,4652,2539
309,194,1234,746,2891,1658
234,312,94,254,283,497
1308,782,474,272,1119,597
0,0,0,0,4,2
0,0,4,2,0,0
87,39,22,8,15,12
622,359,335,196,662,375
4362,2689,4790,2625,21764,10644
499,296,581,344,407,257
0,1,2,4,2,2
