"padj","gene","symbol","rank","rank_change"
4.32990037343815e-13,"ENSG00000167768","KRT1",103,135
4.56624663680526e-13,"ENSG00000134668","SPOCD1",104,119
4.61397659618594e-13,"ENSG00000142731","PLK4",105,58
4.98336801118115e-13,"ENSG00000068971","PPP2R5B",106,202
4.98336801118115e-13,"ENSG00000173110","HSPA6",107,121
4.98336801118115e-13,"ENSG00000173868","PHOSPHO1",108,127
5.16821054683208e-13,"ENSG00000149639","SOGA1",109,122
5.63406116625345e-13,"ENSG00000149289","ZC3H12C",110,123
5.63406116625345e-13,"ENSG00000204592","HLA-E",111,116
5.99197469829282e-13,"ENSG00000104879","CKM",112,308
6.37094340417131e-13,"ENSG00000163507","CIP2A",113,75
8.90440337271355e-13,"ENSG00000225470","JPX",114,-27
9.25422651520252e-13,"ENSG00000115607","IL18RAP",115,130
9.77149827041261e-13,"ENSG00000214688","C10orf105",116,66
1.03509601353642e-12,"ENSG00000106484","MEST",117,947
1.07823757685621e-12,"ENSG00000147872","PLIN2",118,151
1.07823757685621e-12,"ENSG00000168530","MYL1",119,250
1.3000714475123e-12,"ENSG00000130165","ELOF1",120,179
1.55678812580123e-12,"ENSG00000178295","GEN1",121,177
1.58868407908211e-12,"ENSG00000184481","FOXO4",122,191
1.60228921946195e-12,"ENSG00000152463","OLAH",123,143
1.75563270139488e-12,"ENSG00000286071","AL136171.2",124,NA
1.9579935288837e-12,"ENSG00000034152","MAP2K3",125,165
2.09759113352054e-12,"ENSG00000127084","FGD3",126,151
2.23447599117845e-12,"ENSG00000124766","SOX4",127,159
2.54823841758365e-12,"ENSG00000066279","ASPM",128,12
2.54823841758365e-12,"ENSG00000159173","TNNI1",129,300
2.64743883123973e-12,"ENSG00000051341","POLQ",130,30
2.76242032295904e-12,"ENSG00000239474","KLHL41",131,55
2.91518683534436e-12,"ENSG00000139890","REM2",132,138
2.98497625230264e-12,"ENSG00000175003","SLC22A1",133,234
3.1714369483538e-12,"ENSG00000136205","TNS3",134,105
3.35108687598635e-12,"ENSG00000172270","BSG",135,172
3.61671627191428e-12,"ENSG00000164309","CMYA5",136,556
3.64039389572905e-12,"ENSG00000286051","AC244102.3",137,NA
3.6601131781054e-12,"ENSG00000128340","RAC2",138,138
4.75820479472831e-12,"ENSG00000281344","HELLPAR",139,52
5.5607999307586e-12,"ENSG00000119969","HELLS",140,148
5.62768318980428e-12,"ENSG00000173846","PLK3",141,122
5.70490795232479e-12,"ENSG00000196923","PDLIM7",142,243
6.39516635303979e-12,"ENSG00000013306","SLC25A39",143,146
6.39516635303979e-12,"ENSG00000144792","ZNF660",144,172
6.51694935515565e-12,"ENSG00000170525","PFKFB3",145,158
6.56872908760583e-12,"ENSG00000168878","SFTPB",146,1813
6.7927800267255e-12,"ENSG00000177791","MYOZ1",147,374
6.99161750969142e-12,"ENSG00000186439","TRDN",148,837
7.07900134507183e-12,"ENSG00000243772","KIR2DL3",149,49
7.93778266170735e-12,"ENSG00000173894","CBX2",150,108
8.27644951759811e-12,"ENSG00000116641","DOCK7",151,203
8.75019137391235e-12,"ENSG00000227507","LTB",152,227
9.17409360689796e-12,"ENSG00000118276","B4GALT6",153,-39
9.3835130196827e-12,"ENSG00000185900","POMK",154,-131
9.49812828618989e-12,"ENSG00000124731","TREM1",155,385
9.85592035976926e-12,"ENSG00000105501","SIGLEC5",156,-90
9.9540389549409e-12,"ENSG00000185480","PARPBP",157,333
1.10520756900021e-11,"ENSG00000131669","NINJ1",158,163
1.10520756900021e-11,"ENSG00000152137","HSPB8",159,398
1.10520756900021e-11,"ENSG00000169180","XPO6",160,185
1.10520756900021e-11,"ENSG00000206172","HBA1",161,16
1.3297782514567e-11,"ENSG00000134986","NREP",162,12387
1.35255414369814e-11,"ENSG00000223960","CHROMR",163,43
1.57039273509548e-11,"ENSG00000178852","EFCAB13",164,296
1.73779816354077e-11,"ENSG00000029153","ARNTL2",165,340
1.93275276665264e-11,"ENSG00000142546","NOSIP",166,302
1.99749192261862e-11,"ENSG00000099860","GADD45B",167,217
2.02281178253074e-11,"ENSG00000144354","CDCA7",168,221
2.06695388236584e-11,"ENSG00000172216","CEBPB",169,126
2.10998091422225e-11,"ENSG00000213362","FTH1P12",170,6605
2.17532781301093e-11,"ENSG00000269821","KCNQ1OT1",171,403
2.35341056653941e-11,"ENSG00000172167","MTBP",172,101
2.55123833583259e-11,"ENSG00000140678","ITGAX",173,266
2.66264155532477e-11,"ENSG00000213160","KLHL23",174,-33
2.77498561898972e-11,"ENSG00000127955","GNAI1",175,224
2.89324784920138e-11,"ENSG00000166925","TSC22D4",176,318
2.89324784920138e-11,"ENSG00000167671","UBXN6",177,165
3.25234643401583e-11,"ENSG00000147650","LRP12",178,330
3.83285971128949e-11,"ENSG00000254325","AC018607.1",179,556
4.0573336093005e-11,"ENSG00000186638","KIF24",180,426
4.71540141198339e-11,"ENSG00000130066","SAT1",181,182
4.71540141198339e-11,"ENSG00000164116","GUCY1A1",182,363
4.71540141198339e-11,"ENSG00000197714","ZNF460",183,154
5.06849625941224e-11,"ENSG00000128833","MYO5C",184,67
5.12123529153418e-11,"ENSG00000255398","HCAR3",185,168
5.24182229029249e-11,"ENSG00000227591","HSD11B1-AS1",186,534
5.744625621961e-11,"ENSG00000100985","MMP9",187,115
5.744625621961e-11,"ENSG00000172116","CD8B",188,186
5.83814388506837e-11,"ENSG00000180644","PRF1",189,155
6.06090903597674e-11,"ENSG00000156970","BUB1B",190,242
6.18370320653116e-11,"ENSG00000247903","AC024896.1",191,7831
6.32705060423738e-11,"ENSG00000232442","MHENCR",192,542
6.55483674910426e-11,"ENSG00000139832","RAB20",193,178
6.85349676663277e-11,"ENSG00000109846","CRYAB",194,577
6.96320158545623e-11,"ENSG00000071794","HLTF",195,13012
6.96320158545623e-11,"ENSG00000118193","KIF14",196,-27
6.9812504122697e-11,"ENSG00000145734","BDP1",197,317
7.02642831442025e-11,"ENSG00000235257","ITGA9-AS1",198,551
7.34213463485552e-11,"ENSG00000274422","AC245060.5",199,416
7.77563103325654e-11,"ENSG00000077984","CST7",200,175
8.86398176374506e-11,"ENSG00000171552","BCL2L1",201,139
9.075130373291e-11,"ENSG00000184445","KNTC1",202,174
9.32056486256106e-11,"ENSG00000146414","SHPRH",203,250
9.32056486256106e-11,"ENSG00000213275","IFITM9P",204,3371
1.01441494003318e-10,"ENSG00000166004","CEP295",205,201
1.06965322200847e-10,"ENSG00000112303","VNN2",206,124
1.11369642359832e-10,"ENSG00000162545","CAMK2N1",207,346
1.12909883506481e-10,"ENSG00000148344","PTGES",208,165
1.17470670217867e-10,"ENSG00000110047","EHD1",209,243
1.23617119513374e-10,"ENSG00000146263","MMS22L",210,149
1.28948099715546e-10,"ENSG00000139112","GABARAPL1",211,175
1.30331145185463e-10,"ENSG00000158022","TRIM63",212,827
