"rank_change","symbol","rank","padj","gene"
1015,"AGTRAP",3538,0.000546169148423911,"ENSG00000177674"
8127,"NTM",3539,0.000549054795685384,"ENSG00000182667"
1857,"GRK5",3540,0.000549054795685384,"ENSG00000198873"
1168,"CXCL12",3541,0.00054912058100352,"ENSG00000107562"
-346,"AC007787.2",3542,0.000549709980517745,"ENSG00000279044"
2794,"CCDC159",3543,0.0005512475047964,"ENSG00000183401"
NA,"S100A11P2",3544,0.000551375775658997,"ENSG00000236592"
1272,"B4GALT3",3545,0.000552758279058834,"ENSG00000158850"
970,"LTB4R",3546,0.000553308215411172,"ENSG00000213903"
1986,"CD38",3547,0.000554161423553525,"ENSG00000004468"
-1569,"RNU6-942P",3548,0.000554161423553525,"ENSG00000199872"
-1413,"MTND2P40",3549,0.000554364149841876,"ENSG00000236483"
-323,"RN7SL614P",3550,0.000555166494127641,"ENSG00000243267"
1639,"PSMF1",3551,0.0005555016440963,"ENSG00000125818"
2910,"SPC25",3552,0.000555700826425034,"ENSG00000152253"
11859,"YBX3P1",3553,0.000555889778509249,"ENSG00000261614"
1639,"TMEM192",3554,0.000556943657200206,"ENSG00000170088"
1731,"AC124944.1",3555,0.000557601439693955,"ENSG00000231443"
845,"G2E3",3556,0.00055827378936361,"ENSG00000092140"
928,"SCAMP1",3557,0.000558533599084784,"ENSG00000085365"
NA,"AC104335.1",3558,0.000558533599084784,"ENSG00000286216"
-1492,"AC011944.2",3559,0.000559188474683049,"ENSG00000279235"
1975,"WDR36",3560,0.000560635721812638,"ENSG00000134987"
1318,"PTAR1",3561,0.000560635721812638,"ENSG00000188647"
NA,"ANKHD1-EIF4EBP3",3562,0.000562353912573068,"ENSG00000254996"
760,"ANKRD34A",3563,0.000562444007329965,"ENSG00000272031"
1860,"RUBCNL",3564,0.000563057986558249,"ENSG00000102445"
1612,"C5orf24",3565,0.000563874122777911,"ENSG00000181904"
1019,"PFKFB2",3566,0.000565132441527384,"ENSG00000123836"
-2286,"FAU",3567,0.0005656805924445,"ENSG00000149806"
-311,"RAD51AP1P1",3568,0.0005656805924445,"ENSG00000214283"
549,"Z84478.1",3569,0.000565794011166877,"ENSG00000235347"
NA,"CNGB1",3570,0.000566356190227889,"ENSG00000070729"
953,"HOTAIRM1",3571,0.000567782119873136,"ENSG00000233429"
NA,"AP005018.2",3572,0.000567859581695839,"ENSG00000254851"
2391,"COL17A1",3573,0.000568005546362433,"ENSG00000065618"
1410,"PLPPR3",3574,0.000568429776102387,"ENSG00000129951"
-5,"THSD7A",3575,0.000568784671001083,"ENSG00000005108"
1204,"CEACAM6",3576,0.000570036562411283,"ENSG00000086548"
-1548,"AC018638.1",3577,0.000571096667535517,"ENSG00000229413"
1687,"PUM1",3578,0.000571390135307571,"ENSG00000134644"
-1298,"AC079193.2",3579,0.000572095158334119,"ENSG00000249258"
555,"CCNB1",3580,0.000573110293853489,"ENSG00000134057"
-690,"TRAV24",3581,0.000573110293853489,"ENSG00000211805"
152,"AC016590.2",3582,0.000577915307795575,"ENSG00000267682"
-353,"FAM133EP",3583,0.000577915307795575,"ENSG00000270528"
-50,"RPL23AP11",3584,0.000578025420669098,"ENSG00000230988"
3529,"IGSF21",3585,0.000580767351922532,"ENSG00000117154"
-2474,"TUBA3D",3586,0.000582578399382983,"ENSG00000075886"
4464,"CA5BP1",3587,0.000583126640318996,"ENSG00000186312"
794,"APBB1IP",3588,0.000583527159551578,"ENSG00000077420"
242,"ARAP1",3589,0.000583527159551578,"ENSG00000186635"
-481,"AC007601.2",3590,0.000583527159551578,"ENSG00000261293"
NA,"AC098850.3",3591,0.000585386396027058,"ENSG00000266302"
1066,"DHX16",3592,0.000586529719337191,"ENSG00000204560"
2127,"ZKSCAN8",3593,0.000587806738872778,"ENSG00000198315"
313,"FAM133B",3594,0.000587806738872778,"ENSG00000234545"
1608,"CD300LD",3595,0.000588192801257082,"ENSG00000204345"
3269,"CORO6",3596,0.000590179897737449,"ENSG00000167549"
NA,"AC004893.2",3597,0.000593172277931313,"ENSG00000286305"
NA,"ESRG",3598,0.000594163784856535,"ENSG00000265992"
1091,"PADI4",3599,0.000594424583534908,"ENSG00000159339"
NA,"AC016549.1",3600,0.000596274559496249,"ENSG00000287581"
263,"AL031009.1",3601,0.000596391911553908,"ENSG00000278987"
2365,"TPRA1",3602,0.000597591406090957,"ENSG00000163870"
-2480,"AC127024.4",3603,0.000597591406090957,"ENSG00000265791"
643,"PSMD10P1",3604,0.000601841196893528,"ENSG00000228663"
-574,"VN1R83P",3605,0.000602848364364054,"ENSG00000268521"
328,"FBXO9",3606,0.000602964668709185,"ENSG00000112146"
13030,"CELF3",3607,0.000602964668709185,"ENSG00000159409"
2787,"RND1",3608,0.000602964668709185,"ENSG00000172602"
2454,"PSMB8",3609,0.000602964668709185,"ENSG00000204264"
1649,"AC005839.1",3610,0.000602964668709185,"ENSG00000279089"
NA,"AC008625.1",3611,0.000602964668709185,"ENSG00000287695"
-3128,"DHDDS-AS1",3612,0.000603648542307712,"ENSG00000225891"
1058,"GSDMC",3613,0.000604436239168925,"ENSG00000147697"
865,"KIAA0040",3614,0.000605669400312901,"ENSG00000235750"
405,"PQBP1",3615,0.000605922978770484,"ENSG00000102103"
-358,"AC006213.3",3616,0.000605922978770484,"ENSG00000267191"
-3046,"WARS2-AS1",3617,0.0006067667830933,"ENSG00000231365"
1324,"AC092828.1",3618,0.0006067667830933,"ENSG00000253284"
-436,"Z97192.2",3619,0.000608451569256439,"ENSG00000213279"
-314,"RNU6-1141P",3620,0.000609475374845226,"ENSG00000201390"
-343,"AC073592.5",3621,0.000609475374845226,"ENSG00000279121"
-465,"RNU4ATAC11P",3622,0.00060950953323463,"ENSG00000251748"
2413,"EMD",3623,0.00060954131260732,"ENSG00000102119"
10009,"CBLN1",3624,0.00060954131260732,"ENSG00000102924"
1952,"NSD2",3625,0.00060954131260732,"ENSG00000109685"
1325,"ZNF45",3626,0.00060954131260732,"ENSG00000124459"
1305,"SLAMF1",3627,0.000611494300661567,"ENSG00000117090"
2821,"MTND1P11",3628,0.000611581300003459,"ENSG00000228166"
-344,"AC011443.1",3629,0.000611581300003459,"ENSG00000269172"
800,"CLDN12",3630,0.000611758990848774,"ENSG00000157224"
1485,"HSPD1P11",3631,0.000612577555038312,"ENSG00000251348"
1929,"ANKRD12",3632,0.000613147007609562,"ENSG00000101745"
1917,"JAML",3633,0.000613147007609562,"ENSG00000160593"
1458,"OSTCP8",3634,0.000613609661417267,"ENSG00000226801"
-570,"ST18",3635,0.000615354713549992,"ENSG00000147488"
1442,"CD19",3636,0.000615354713549992,"ENSG00000177455"
914,"PGAM1",3637,0.000616317112914677,"ENSG00000171314"
1615,"RAI1",3638,0.000616460450361987,"ENSG00000108557"
975,"GNPDA2",3639,0.000617336945542927,"ENSG00000163281"
-370,"AC016542.3",3640,0.000617351139407275,"ENSG00000280166"
1732,"PRR11",3641,0.000619975275220774,"ENSG00000068489"
-1847,"AC024451.3",3642,0.000620787857179382,"ENSG00000254065"
2923,"ZNRF2P2",3643,0.000621979154174897,"ENSG00000225264"
6802,"AC020907.4",3644,0.000621979154174897,"ENSG00000271032"
2635,"SDR42E1P5",3645,0.000625067717556743,"ENSG00000236785"
874,"TADA3",3646,0.000625429634696879,"ENSG00000171148"
