"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000285730",4,0,0,99,164,114,0.000581430370979161,"Z94721.3",3127,NA
"ENSG00000261732",1,0,0,41,98,69,0.000598836626235401,"AL031708.1",3163,NA
"ENSG00000287092",0,0,1,171,8,258,0.000629094611321283,"AL589693.1",3193,NA
"ENSG00000287837",28,12,28,732,276,408,0.000650599287289464,"AL590064.1",3211,NA
"ENSG00000286076",8,7,16,0,1,3,0.000685231091319183,"AC005050.3",3247,NA
"ENSG00000248780",4,3,76,0,0,2,0.000688839906862267,"ARL4AP2",3252,NA
"ENSG00000285533",59,72,132,85,81,99,0.000736951589576677,"RELA-DT",3318,NA
"ENSG00000286861",1,5,2,107,80,120,0.000771524901661295,"AL049779.4",3359,NA
"ENSG00000286803",0,0,0,29,48,41,0.000802893160235318,"AL109824.1",3384,NA
"ENSG00000287097",14,106,0,2,0,2,0.00080641512842684,"AL590550.1",3393,NA
"ENSG00000228347",15,6,6,1,1,0,0.000860162749296532,"FTLP17",3442,NA
"ENSG00000286219",13,10,2,318,426,251,0.000872052770933118,"NOTCH2NLC",3452,NA
"ENSG00000286640",7,53,6,5,2,4,0.000877991856530833,"AC093151.5",3461,NA
"ENSG00000287427",0,0,0,16,213,23,0.000879191443682785,"AL390236.1",3469,NA
"ENSG00000286314",8,0,2,101,359,255,0.000881260614325947,"AC010359.3",3471,NA
"ENSG00000285627",6,0,0,198,161,201,0.000901466172598588,"AC005343.4",3497,NA
"ENSG00000236592",2,7,22,0,1,0,0.00095626765438059,"S100A11P2",3544,NA
"ENSG00000286216",0,0,1,66,44,57,0.000968347829429267,"AC104335.1",3558,NA
"ENSG00000254996",40,31,77,462,729,564,0.00097344760170436,"ANKHD1-EIF4EBP3",3562,NA
"ENSG00000070729",1,7,79,0,0,2,0.000983165018667664,"CNGB1",3570,NA
"ENSG00000254851",18,25,3,3,1,4,0.000985169597557823,"AP005018.2",3572,NA
"ENSG00000266302",3,0,0,254,43,114,0.00101565445153229,"AC098850.3",3592,NA
"ENSG00000286305",6,0,3,107,112,144,0.00102837593424816,"AC004893.2",3597,NA
"ENSG00000265992",51,1,2,1,0,0,0.00103146258979072,"ESRG",3599,NA
"ENSG00000287581",0,0,0,35,26,58,0.00103364852708835,"AC016549.1",3601,NA
"ENSG00000287695",0,0,0,39,25,52,0.00104565200150909,"AC008625.1",3611,NA
"ENSG00000286316",1,0,0,52,39,91,0.00108467092842053,"Z93020.1",3647,NA
"ENSG00000276758",13,26,83,6,14,0,0.00109637167470029,"AC245884.12",3659,NA
"ENSG00000287131",5,20,56,8,1,0,0.00110257785190914,"AC096970.1",3663,NA
"ENSG00000287872",0,0,0,28,24,84,0.0011923049248401,"AC026956.2",3745,NA
"ENSG00000283515",0,0,0,50,20,48,0.00122373243298814,"AC020915.4",3771,NA
"ENSG00000254387",1,8,26,0,1,0,0.00130574467332217,"MYL12AP1",3822,NA
"ENSG00000273112",29,4,43,9,9,3,0.00135191434732312,"AL590385.2",3847,NA
"ENSG00000287769",1,1,4,64,55,102,0.00139779870104924,"AL353748.3",3874,NA
"ENSG00000286548",4,0,0,217,46,197,0.00144656914175799,"AL596214.1",3904,NA
"ENSG00000286846",0,1,0,66,26,97,0.00145503287215361,"Z93943.1",3911,NA
"ENSG00000110002",99,81,1275,190,64,63,0.00148821916863558,"VWA5A",3935,NA
"ENSG00000286035",13,5,46,306,425,426,0.00149470710541342,"AC073840.1",3947,NA
"ENSG00000286771",1,1,1,68,39,83,0.00151308093075605,"AC097658.3",3955,NA
"ENSG00000287002",3,0,2,50,83,104,0.00155185791421167,"AL589644.1",3969,NA
"ENSG00000287117",0,0,1,97,17,95,0.00168364511047282,"AC105916.1",4040,NA
"ENSG00000287936",1,0,1,49,52,80,0.00175743479421482,"AL391425.1",4084,NA
"ENSG00000233419",4,7,8,1,0,0,0.00177469026852857,"IFITM3P7",4101,NA
"ENSG00000233791",15,17,273,5,7,30,0.00178724417668666,"LINC01136",4115,NA
"ENSG00000285231",5,4,11,1,0,0,0.00178955772694931,"OOSP3",4117,NA
"ENSG00000239039",0,0,0,27,20,78,0.00180549209663217,"SNORD13",4126,NA
"ENSG00000287458",9,8,3,170,283,132,0.00187290454809,"AL033519.5",4166,NA
"ENSG00000237169",6,13,267,3,14,15,0.00196267157608629,"RPL12P27",4200,NA
"ENSG00000287437",2,0,2,46,62,86,0.0020190347643822,"AL161662.1",4233,NA
"ENSG00000285994",12,0,1,225,643,271,0.00203344500250455,"AL731559.1",4244,NA
"ENSG00000286092",0,0,0,19,36,49,0.00212236936651939,"AC117503.5",4276,NA
"ENSG00000284685",3,0,2,57,104,58,0.00216658446354445,"AC009093.10",4288,NA
"ENSG00000287049",0,0,0,41,22,33,0.00221034394294611,"AC124862.1",4324,NA
"ENSG00000287959",1,0,0,65,43,35,0.0022386392799221,"AC021236.1",4334,NA
"ENSG00000286480",3,0,0,76,61,83,0.00230203760438974,"AC009501.2",4364,NA
"ENSG00000285801",0,0,2,29,61,157,0.00230438948333879,"AL133268.4",4367,NA
"ENSG00000167914",4,92,6,2,9,4,0.00234820436683025,"GSDMA",4394,NA
"ENSG00000285850",7,0,0,225,157,205,0.00239244344376525,"AC009152.3",4410,NA
"ENSG00000285812",1,0,0,35,58,46,0.00239359490741901,"AL390719.3",4415,NA
"ENSG00000201207",11,8,14,1,6,4,0.00256697551576402,"Y_RNA",4475,NA
"ENSG00000286288",40,54,388,69,78,31,0.00257771774534213,"AL109809.4",4478,NA
"ENSG00000258960",7,3,12,1,1,0,0.00260776566916746,"FTH1P13",4485,NA
"ENSG00000285897",8,5,10,192,102,106,0.00263200736685447,"AC004687.2",4497,NA
"ENSG00000196990",3,1,35,0,1,0,0.0026710871691172,"FAM163B",4515,NA
"ENSG00000284638",0,0,0,96,7,47,0.00269128700085682,"AC005551.1",4524,NA
"ENSG00000287829",0,0,0,35,16,52,0.0027106222368875,"AC002542.6",4533,NA
"ENSG00000285679",1,1,0,65,34,81,0.00281677221646513,"AC079142.1",4575,NA
"ENSG00000284882",18,102,669,67,80,46,0.00286483778009512,"AL359762.1",4598,NA
"ENSG00000286366",6,0,4,163,54,213,0.00294448261663433,"AC005052.2",4624,NA
"ENSG00000185842",18,7,10,181,142,1239,0.00295743556889721,"DNAH14",4631,NA
"ENSG00000288603",0,0,0,35,23,29,0.00304962924525044,"SNORA74C-2",4663,NA
"ENSG00000285758",0,1,0,56,29,48,0.00315442221766169,"AC036214.4",4695,NA
"ENSG00000270106",0,0,0,26,27,31,0.00335008973846409,"TSNAX-DISC1",4755,NA
"ENSG00000285996",0,0,0,36,25,24,0.00342835821337797,"AC006116.9",4781,NA
"ENSG00000287665",7,0,22,231,272,257,0.0035385255634917,"AC092428.1",4812,NA
"ENSG00000211766",18,13,4,5,0,1,0.003542830418954,"TRBJ2-2P",4815,NA
"ENSG00000091482",1,6,9,0,0,0,0.00369947936312672,"SMPX",4851,NA
"ENSG00000284606",3,2,2,86,102,38,0.00371010590265283,"AC105233.4",4854,NA
"ENSG00000287378",0,0,1,32,32,72,0.00371847416548924,"AC129803.1",4859,NA
"ENSG00000286990",3,1,0,113,50,59,0.00373850415880874,"AC016026.2",4871,NA
"ENSG00000284948",16,7,14,8,3,6,0.00378365670945187,"AC107959.4",4881,NA
"ENSG00000287113",0,0,1,107,23,32,0.00382369415647761,"AL139289.2",4894,NA
"ENSG00000284906",0,0,0,16,31,45,0.00384268641402546,"AC091057.5",4902,NA
"ENSG00000243797",2,5,26,2,0,0,0.00398360956613944,"AC004917.1",4951,NA
"ENSG00000286974",25,4,20,576,228,303,0.0040594734612705,"AL662884.5",4972,NA
"ENSG00000288025",2,14,9,193,357,124,0.00413024939598517,"AC093849.4",4991,NA
"ENSG00000287405",9,8,25,165,337,142,0.00423875076684951,"AC017028.2",5017,NA
"ENSG00000162685",3,5,4,0,0,0,0.00425808603191321,"LSP1P3",5022,NA
"ENSG00000285967",67,70,191,1010,897,1179,0.00436473137012029,"NIPBL-DT",5054,NA
"ENSG00000287494",7,1,2,85,121,100,0.00443230720346685,"AC069368.2",5071,NA
"ENSG00000165548",243,25,40,16,3,51,0.00448393726088657,"TMEM63C",5084,NA
"ENSG00000287447",2,0,0,63,52,44,0.00452692238278537,"AC099501.1",5095,NA
"ENSG00000287978",78,57,290,135,52,27,0.00456668849609387,"AC245407.2",5114,NA
"ENSG00000286311",1,1,0,94,13,129,0.00458903694479228,"AL034550.3",5122,NA
"ENSG00000286559",0,0,0,49,9,46,0.0046725358197902,"AC099845.1",5151,NA
"ENSG00000232254",5,6,9,0,0,2,0.00469565926185805,"CSF2RBP1",5155,NA
"ENSG00000248643",14,2,18,168,183,373,0.00473282900188092,"RBM14-RBM4",5162,NA
"ENSG00000286524",0,0,0,24,17,47,0.00473405892904833,"AC092567.2",5165,NA
"ENSG00000288046",7,1,0,17,554,391,0.0047960240196707,"AL031123.5",5171,NA
"ENSG00000285921",0,0,0,41,43,11,0.00480232658329462,"AP000779.1",5172,NA
"ENSG00000287180",2,1,3,82,38,58,0.00493543129041693,"AC106818.2",5195,NA
"ENSG00000285676",8,0,2,125,162,112,0.00503481991115631,"AL158212.5",5217,NA
