"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000008516",7249,7167,51654,271,391,67,2.71136988653838e-18,"MMP25",29,59
"ENSG00000100453",4006,4146,1416,106,38,22,5.21514979309785e-18,"GZMB",30,65
"ENSG00000092054",1390,608,538,0,2,0,6.47168178592756e-18,"MYH7",31,130
"ENSG00000180871",7676,10572,47694,37,192,356,6.47168178592756e-18,"CXCR2",32,62
"ENSG00000185262",2806,3284,7808,1152,872,1108,6.47168178592756e-18,"UBALD2",33,79
"ENSG00000268903",995,892,5008,9,51,9,7.25419463372333e-18,"AL627309.6",34,179
"ENSG00000124102",484,132,435,1,2,0,1.63969085758551e-17,"PI3",35,81
"ENSG00000132846",19,11,32,1349,1497,1661,1.71204368897327e-17,"ZBED3",36,120
"ENSG00000171502",3,3,13,6351,1598,2131,3.12639082181164e-17,"COL24A1",37,17
"ENSG00000105967",51,96,161,5895,7939,6812,4.24731117435324e-17,"TFEC",38,88
"ENSG00000114854",145,138,100,7,7,5,4.24731117435324e-17,"TNNC1",39,254
"ENSG00000104904",18549,25637,40555,6352,8492,5311,4.81662948688825e-17,"OAZ1",40,43
"ENSG00000130592",13704,9296,29411,3109,1964,3355,5.0989578912404e-17,"LSP1",41,56
"ENSG00000196091",432,206,348,0,3,8,7.78078456302736e-17,"MYBPC1",42,240
"ENSG00000099785",2347,1469,4080,413,633,378,9.09173090451029e-17,"MARCHF2",43,89
"ENSG00000197893",189,119,159,0,1,3,1.82103913698307e-16,"NRAP",44,282
"ENSG00000158828",602,693,1538,244,288,266,1.85320104848241e-16,"PINK1",45,74
"ENSG00000229314",189,127,860,9,11,2,2.35727607958872e-16,"ORM1",46,72
"ENSG00000196843",3881,3549,11519,1430,962,1166,3.27265202772485e-16,"ARID5A",47,129
"ENSG00000122367",152,56,140,4,5,6,4.23444422502897e-16,"LDB3",48,377
"ENSG00000111245",505,323,333,0,0,1,6.85332275522457e-16,"MYL2",49,166
"ENSG00000185559",6,4,10,793,616,908,6.87927744079735e-16,"DLK1",50,259
"ENSG00000114626",6409,10000,41276,1556,1119,1408,6.97995220625113e-16,"ABTB1",51,119
"ENSG00000087086",122112,103511,189001,19923,29600,10712,7.96264425934846e-16,"FTL",52,81
"ENSG00000274173",81,497,1040,5,0,3,9.14970271105614e-16,"AL035661.1",53,77
"ENSG00000151726",22423,20774,149545,3587,2546,1981,1.16094656408998e-15,"ACSL1",54,104
"ENSG00000226608",677,926,1286,59,153,51,1.32964036830292e-15,"FTLP3",55,769
"ENSG00000106823",8,8,13,678,918,729,1.60531835466514e-15,"ECM2",56,46
"ENSG00000035664",1049,580,1841,253,129,128,2.27906307688765e-15,"DAPK2",57,98
"ENSG00000122778",3,1,12,1940,1208,948,2.55267445769387e-15,"KIAA1549",58,49
"ENSG00000162366",1220,878,556,35,3,11,3.74641759007216e-15,"PDZK1IP1",59,83
"ENSG00000070495",1910,1827,4593,943,782,951,3.8546855014741e-15,"JMJD6",60,170
"ENSG00000081923",18,17,21,1299,2304,1333,4.27174544166838e-15,"ATP8B1",61,585
"ENSG00000139618",28,24,60,1633,2667,1916,4.27174544166838e-15,"BRCA2",62,117
"ENSG00000185201",24617,35116,216514,4208,1282,2243,5.3317765165165e-15,"IFITM2",63,74
"ENSG00000285417",6,0,12,4595,1561,2923,6.3360628921238e-15,"BX571818.1",64,NA
"ENSG00000156802",108,104,160,4167,3974,3463,8.22775710916436e-15,"ATAD2",65,120
"ENSG00000135924",2396,1215,2034,369,403,301,9.20419637688961e-15,"DNAJB2",66,145
"ENSG00000008438",2002,837,2009,110,15,29,1.04766879945873e-14,"PGLYRP1",67,126
"ENSG00000213654",10246,10890,46577,2514,3105,1994,1.16163919573369e-14,"GPSM3",68,110
"ENSG00000232187",142,136,409,17,31,9,1.30513670521784e-14,"FTH1P7",69,1321
"ENSG00000022840",12037,11720,40543,4751,4081,4378,1.32308325820416e-14,"RNF10",70,79
"ENSG00000155189",85,69,109,3124,3127,3484,1.32308325820416e-14,"AGPAT5",71,63
"ENSG00000007062",8,5,3,9926,939,9166,1.60391437917821e-14,"PROM1",72,123
"ENSG00000140932",238,663,3703,21,6,31,2.06537517393208e-14,"CMTM2",73,116
"ENSG00000132471",9721,4497,14666,1905,2244,1449,2.06999788156843e-14,"WBP2",74,142
"ENSG00000115590",1535,21445,251167,145,113,5,2.35317971149764e-14,"IL1R2",75,122
"ENSG00000119121",94,184,122,9,10,14,2.3714725621138e-14,"TRPM6",76,111
"ENSG00000143774",12395,8405,8383,2056,1378,1151,2.46247083639742e-14,"GUK1",77,115
"ENSG00000187608",256,231,585,116,116,80,4.31424189022651e-14,"ISG15",78,106
"ENSG00000214456",207,946,2249,26,57,18,4.328573826149e-14,"PLIN5",79,73
"ENSG00000086506",480,1110,408,34,7,28,5.21709677137729e-14,"HBQ1",80,-6
"ENSG00000109061",465,330,175,1,0,0,5.33642466428368e-14,"MYH1",81,197
"ENSG00000103569",6406,18023,88377,196,534,27,5.46757232930158e-14,"AQP9",82,92
"ENSG00000173641",108,153,187,0,1,1,5.46757232930158e-14,"HSPB7",83,218
"ENSG00000104218",86,73,148,3596,2871,4057,7.35558739809912e-14,"CSPP1",84,-6
"ENSG00000198554",23,25,35,1083,1213,1055,7.36591943853406e-14,"WDHD1",85,77
"ENSG00000168309",76,124,630,5,10,2,7.41627506618643e-14,"FAM107A",86,330
"ENSG00000221957",226,159,97,1,4,0,9.38433839207843e-14,"KIR2DS4",87,63
"ENSG00000116299",944,787,957,57,4,21,9.70939408453638e-14,"ELAPOR1",88,92
"ENSG00000105835",21304,38257,221010,3888,4582,1824,1.27760091393976e-13,"NAMPT",89,179
